iter	RMSE
283	0.5127267176
284	0.5098015061
285	0.5075972472
286	0.5052708772
287	0.5017684128
288	0.4985234762
289	0.4948335261
290	0.4924854494
291	0.4886567148
292	0.4857472684
293	0.4829441133
294	0.4796731123
295	0.4776272762
296	0.4744678091
297	0.4716644946
298	0.4695693894
299	0.466072547
300	0.4632163006
301	0.4606205013
302	0.4584237224
303	0.4557403863
304	0.4532508833
305	0.4513302014
306	0.448823648
307	0.4469317443
308	0.4440411658
309	0.4407529568
310	0.4376518327
311	0.4353176146
312	0.4329874594
313	0.4301595599
314	0.4284170231
315	0.4256404114
316	0.4238542835
317	0.4214061244
318	0.4184459167
319	0.4166541923
320	0.4140666769
321	0.4115791704
322	0.4099091437
323	0.4075297711
324	0.4052795256
325	0.4030409311
326	0.4014369527
327	0.3988309665
328	0.3972217201
329	0.3948471851
330	0.392802748
331	0.3909007291
332	0.3883454294
333	0.3859893061
334	0.3844231865
335	0.3824857849
336	0.3810961782
337	0.3792148173
338	0.3770507616
339	0.3755126428
340	0.3731069675
341	0.3713247971
342	0.3691589303
343	0.3677784239
344	0.3657479777
345	0.3637353884
346	0.3620206233
347	0.3599875925
348	0.3576748942
349	0.3562496073
350	0.3542275172
351	0.3518177234
352	0.3505335526
353	0.3484533671
354	0.3467441394
355	0.3454671822
356	0.3437634405
357	0.3420489132
358	0.3402303712
359	0.3389044617
360	0.3373215893
361	0.33614895
362	0.334417651
363	0.3328846303
364	0.3307343795
365	0.3296606928
366	0.3279163972
367	0.326469464
368	0.3254201573
369	0.3236481236
370	0.3222102592
371	0.3204919742
372	0.3191178994
373	0.3175267346
374	0.3165435324
375	0.3150128599
376	0.3135358079
377	0.3125061678
378	0.3111413911
379	0.3096319876
380	0.3082008949
381	0.3068884857
382	0.3059420749
383	0.3044377228
384	0.303205674
385	0.3019595359
386	0.3009724013
387	0.2995750146
388	0.2985517177
389	0.2970257894
390	0.2957956021
391	0.2943991944
392	0.2930869188
393	0.291934235
394	0.2903962177
395	0.2895225335
396	0.2883957904
397	0.2875233091
398	0.2863047455
399	0.2849335662
400	0.283806331
401	0.2830021121
402	0.2817733388
403	0.2804360162
404	0.2792279612
405	0.27814003
406	0.2773595123
407	0.2760617327
408	0.274924241
409	0.2738823371
410	0.2730996054
411	0.2721334327
412	0.2711622526
413	0.2701798525
414	0.269417548
415	0.2684089936
416	0.2673449564
417	0.2666317714
418	0.2656624827
419	0.2645776297
420	0.263562157
421	0.2620273252
422	0.2609168334
423	0.2601929382
424	0.2591336391
425	0.2579730623
426	0.257316762
427	0.256438215
428	0.2550634321
429	0.2544244489
430	0.2533555116
431	0.2523940322
432	0.2515257182
433	0.2506385706
434	0.2497700998
435	0.2487897214
436	0.2479405313
437	0.2473298255
438	0.2460500546
439	0.2451123496
440	0.2445264906
441	0.2437202838
442	0.2428878339
443	0.2420608184
444	0.2409369094
445	0.2402088073
446	0.2395760734
447	0.2387130203
448	0.238172816
449	0.2373859043
450	0.236621904
451	0.2354937917
452	0.2348063051
453	0.2342682133
454	0.2334287925
455	0.2324262519
456	0.2315560024
457	0.2308051536
458	0.230136152
459	0.2296047279
460	0.2288767709
461	0.2281816956
462	0.2273973544
463	0.2266949385
464	0.2261370612
465	0.2252343807
466	0.2246355075
467	0.2241427687
468	0.2232731623
469	0.2223395515
470	0.2217540378
471	0.221112641
472	0.2204541588
473	0.2200043527
474	0.2193302337
475	0.2187070278
476	0.2180815425
477	0.2174822185
478	0.2169145046
479	0.2161377831
480	0.2156870676
481	0.2151438598
482	0.2145560714
483	0.2138278919
484	0.2134147481
485	0.2130598928
486	0.2119675205
487	0.2114336968
488	0.2108623053
489	0.2098064002
490	0.2093511358
491	0.2087366768
492	0.2080719967
493	0.207193626
494	0.2066395942
495	0.2061399604
496	0.205749398
497	0.2051734247
498	0.2046379079
499	0.2043188477
500	0.2038267227
501	0.2032978401
502	0.2025575928
503	0.2020854336
504	0.2015830229
505	0.201234604
506	0.2006100155
507	0.1998307738
508	0.1993737157
509	0.1989387914
510	0.1984544687
511	0.197978785
512	0.1975602951
513	0.1972115036
514	0.1968967536
515	0.1964513283
516	0.1959769863
517	0.1954000262
518	0.1948344692
519	0.1937126658
520	0.1932763192
521	0.1929130528
522	0.1924051734
523	0.1916868804
524	0.1912158568
525	0.1906950527
526	0.1903801844
527	0.1896618424
528	0.1892433035
529	0.1888775896
530	0.1885803757
531	0.1877658408
532	0.1873528934
533	0.1869348079
534	0.1866448527
535	0.1861025242
536	0.1856772426
537	0.1851400654
538	0.1846979458
539	0.1842881841
540	0.1838660606
541	0.1835900162
542	0.1828486383
543	0.18220137
544	0.1817098556
545	0.1812811134
546	0.1808304676
547	0.1804122227
548	0.180188034
549	0.1792351618
550	0.1788787879
551	0.1784975288
552	0.178121353
553	0.1773731288
554	0.1770699398
555	0.1766339978
556	0.1762368194
557	0.1757528244
558	0.175544697
559	0.1752289208
560	0.1748194642
561	0.1744805701
562	0.1741542451
563	0.1735327803
564	0.1732049536
565	0.1727702645
566	0.1725584409
567	0.1722113935
568	0.1718074572
569	0.1710127366
570	0.1707988909
571	0.1704822696
572	0.1697973068
573	0.1693645701
574	0.1691410471
575	0.1688726767
576	0.1683539608
577	0.1680216913
578	0.1675267402
579	0.1669122301
580	0.166618452
581	0.1660563152
582	0.1658501832
583	0.1655099157
584	0.1652529553
585	0.1649688778
586	0.1646005048
587	0.1641449221
588	0.163976892
589	0.1636272002
590	0.1631387743
591	0.1628592
592	0.1623572043
593	0.1621603489
594	0.1617221486
595	0.1609934955
596	0.1604107485
597	0.1597993895
598	0.1596018935
599	0.1589563065
600	0.158668481
601	0.1580806703
602	0.157584145
603	0.1573482467
604	0.1566147565
605	0.156309779
606	0.1559289223
607	0.1553941999
608	0.1552321576
609	0.1549072075
610	0.1546391394
611	0.1541604256
612	0.1537475794
613	0.1531994379
614	0.1529800336
615	0.1525801664
616	0.1520359756
617	0.1516077863
618	0.1512901993
619	0.1509664109
620	0.1507867382
621	0.1504813093
622	0.1502106033
623	0.149817518
624	0.149540217
625	0.1493183303
626	0.1488850731
627	0.1487016662
628	0.148504435
629	0.1483502999
630	0.1477584294
631	0.1474770162
632	0.1472668864
633	0.1467940841
634	0.1464934452
635	0.1459997949
636	0.1457436423
637	0.145342836
638	0.1451017983
639	0.1447905172
640	0.1443334125
641	0.1441858123
642	0.1439577653
643	0.1436070858
644	0.1429462011
645	0.1427446203
646	0.1425436289
647	0.1421429551
648	0.1420021417
649	0.141634073
650	0.1413390286
651	0.1411866218
652	0.1409648967
653	0.1407073344
654	0.1404754715
655	0.1402539459
656	0.1397430759
657	0.139339039
658	0.1389611079
659	0.1388172442
660	0.1386393222
661	0.1385068005
662	0.1382237502
663	0.1378398106
664	0.1376478281
665	0.1374923395
666	0.1372104107
667	0.1369643022
668	0.1366062018
669	0.1364799646
670	0.1360554549
671	0.1358800812
672	0.1356962497
673	0.1354809086
674	0.1350286036
675	0.1346331574
676	0.1343354925
677	0.1339864179
678	0.1337510938
679	0.1335109268
680	0.1331529083
681	0.1327950436
682	0.1326478612
683	0.1324726323
684	0.1321330093
685	0.1320254446
686	0.1318795062
687	0.1316387513
688	0.1314154011
689	0.1310985453
690	0.130904726
691	0.1303492256
692	0.1298632391
693	0.1295596215
694	0.1293379202
695	0.1291828683
696	0.1288708044
697	0.128586645
698	0.1284804853
699	0.128178807
700	0.1279653843
701	0.1278034382
702	0.1275491719
703	0.1273847977
704	0.1271295012
705	0.1270264349
706	0.1266669899
707	0.1264857199
708	0.1263011272
709	0.1261891782
710	0.1259016486
711	0.1256327765
712	0.1253258133
713	0.1249591015
714	0.1247803177
715	0.1246156812
716	0.1243205937
717	0.1240556491
718	0.123965823
719	0.1235991214
720	0.1233887259
721	0.1230709613
722	0.1228888777
723	0.122716735
724	0.1223914593
725	0.1222414448
726	0.1221549989
727	0.1219299616
728	0.1215666426
729	0.1213096988
730	0.1210257468
731	0.1208096786
732	0.1205974947
733	0.1202563955
734	0.1200195802
735	0.1198391662
736	0.1197196776
737	0.1196370676
738	0.1192047773
739	0.11885535
740	0.1185611235
741	0.1183911744
742	0.1182441025
743	0.1180183227
744	0.117786714
745	0.1176353086
746	0.1174092885
747	0.1173319133
748	0.1170876098
749	0.1169464025
750	0.1168346471
751	0.1165679304
752	0.1164129134
753	0.1162593501
754	0.116109691
755	0.1159510984
756	0.1158650305
757	0.1157237544
758	0.1154457277
759	0.11530181
760	0.1151587806
761	0.1150203816
762	0.1149050428
763	0.1147674282
764	0.1145631406
765	0.1143909041
766	0.1142678849
767	0.1140944663
768	0.1139730133
769	0.1138429347
770	0.1136420643
771	0.1135547452
772	0.1131919451
773	0.1130927638
774	0.1129071413
775	0.1125511826
776	0.1123929145
777	0.1122624217
778	0.1121093538
779	0.1119956589
780	0.111872765
781	0.1117820004
782	0.1116009497
783	0.1114826694
784	0.1110952828
785	0.1110038723
786	0.1107325132
787	0.1103321882
788	0.1102480066
789	0.1101350811
790	0.1098335624
791	0.1094687939
792	0.1091860265
793	0.1090120761
794	0.1088771476
795	0.1087328941
796	0.1086283541
797	0.1084566255
798	0.1083555952
799	0.1081345468
800	0.1079815193
801	0.1078740317
802	0.1077769235
803	0.107687325
804	0.1074445042
805	0.107334376
806	0.1071549617
807	0.1070670161
808	0.106945692
809	0.1067830142
810	0.1066512844
811	0.1064714851
812	0.1063198658
813	0.1062373758
814	0.1061036251
815	0.105998409
816	0.1058254127
817	0.1057222874
818	0.105657658
819	0.1052936349
820	0.1051335113
821	0.1049602201
822	0.1048128245
823	0.1046722744
824	0.1045322112
825	0.1042842721
826	0.1041565983
827	0.1039691997
828	0.103875335
829	0.1038174072
830	0.1036738893
831	0.1036038992
832	0.1034972299
833	0.1034331468
834	0.1032447806
835	0.1031163822
836	0.1030212214
837	0.1028784575
838	0.1027500574
839	0.1025438238
840	0.1024297485
841	0.10230886
842	0.1022495527
843	0.1020753761
844	0.101952352
845	0.1018505702
846	0.1017109497
847	0.1015915407
848	0.1011970229
849	0.1011030848
850	0.1010594491
851	0.100933601
852	0.1007857346
853	0.1006618456
854	0.1005286339
855	0.1003344075
856	0.1001927544
857	0.100006747
858	0.09991502361
859	0.09985987361
860	0.09976941988
861	0.09964540115
862	0.09936541238
863	0.09926504405
864	0.09918076998
865	0.09909592194
866	0.09881748764
867	0.09877113112
868	0.0986887274
869	0.09854791761
870	0.09845597634
871	0.09833891028
872	0.09829720011
873	0.09814143122
874	0.09802831631
875	0.09790297895
876	0.0976611174
877	0.09748901441
878	0.09735371597
879	0.09722234096
880	0.09699595141
881	0.09690462669
882	0.09683400629
883	0.09679614404
884	0.09671849934
885	0.09659974656
886	0.09633835547
887	0.09610766113
888	0.095945048
889	0.09583067427
890	0.09572519177
891	0.09545940695
892	0.09538870701
893	0.09533219336
894	0.09528323638
895	0.09515077392
896	0.09503342755
897	0.0949733015
898	0.09493903244
899	0.09464259892
900	0.09449163925
901	0.09428606429
902	0.09419937425
903	0.09408290574
904	0.09400135609
905	0.09389205187
906	0.09361111032
907	0.09344596985
908	0.0933633847
909	0.09324852891
910	0.09317485332
911	0.0931400824
912	0.09300373556
913	0.09289023085
914	0.09278741527
915	0.09269849526
916	0.09262130986
917	0.09250710629
918	0.0923889265
919	0.0923233769
920	0.09226086125
921	0.09220230247
922	0.09205723032
923	0.09195929941
924	0.09185861785
925	0.09179437135
926	0.09165601502
927	0.09144064047
928	0.09140283312
929	0.09124870839
930	0.09117538081
931	0.0910857581
932	0.09088794862
933	0.09075906768
934	0.09067481131
935	0.09047221471
936	0.09024279638
937	0.09016702599
938	0.09008574928
939	0.08997702972
940	0.08984501028
941	0.08972977355
942	0.08969366685
943	0.08960624707
944	0.08953671026
945	0.08943667745
946	0.08930097677
947	0.08920671965
948	0.08909276771
949	0.08904132038
950	0.08898327638
951	0.08884499538
952	0.08867800932
953	0.08851385903
954	0.08836606906
955	0.08828149585
956	0.08824522469
957	0.08815159933
958	0.08807588719
959	0.08796481938
960	0.08789981534
961	0.08779038978
962	0.08776112574
963	0.08755804964
964	0.08730461371
965	0.08719507609
966	0.08715821331
967	0.08703132765
968	0.08699321885
969	0.08686086925
970	0.08677369577
971	0.08664932909
972	0.08649817993
973	0.08640990055
974	0.08614694839
975	0.08601669736
976	0.08594921275
977	0.0858731493
978	0.08584667299
979	0.08581140359
980	0.08571565136
981	0.08558418312
982	0.08553365703
983	0.08545894988
984	0.08538469872
985	0.08532233663
986	0.08511907674
987	0.08502879563
988	0.08489112507
989	0.08480278574
990	0.08465696687
991	0.08456146169
992	0.0843477509
993	0.08427869647
994	0.08423878336
995	0.08420217667
996	0.08406044308
997	0.08399446447
998	0.08396123183
999	0.08388667562
